true_label,prob,pred,inference_time_ms
1,1.0,1,0.0035
1,1.0,1,0.0012
1,1.0,1,0.0008
1,1.0,1,0.0008
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,0.999999,1,0.0007
1,0.999997,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,0.999997,1,0.0007
1,0.999999,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0009
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0008
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0006
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
1,1.0,1,0.0007
