true_label,prob,pred,encrypt_time_ms,infer_time_ms
1,0.365872,0,1.9088,3.4148
1,0.279948,0,1.6605,3.3957
1,0.359775,0,1.6132,3.0571
1,0.289915,0,1.5947,3.0172
1,0.362738,0,1.6202,3.0201
1,0.37486,0,1.6251,3.0378
1,0.354192,0,1.6046,3.018
1,0.332903,0,1.6053,3.0022
1,0.390727,0,1.6045,3.025
1,0.338805,0,1.5303,2.8988
1,0.312977,0,1.5993,2.9518
1,0.323064,0,1.5695,2.9804
1,0.387234,0,1.5956,2.9261
1,0.424658,0,1.5183,2.9499
1,0.313992,0,1.553,2.9809
0,0.521961,1,1.5596,2.9961
0,0.341132,0,1.5798,2.8022
0,0.402551,0,1.5628,2.9338
0,0.434617,0,1.5945,2.979
0,0.441511,0,1.6045,2.9838
0,0.526036,1,1.5251,2.8547
0,0.556772,1,1.5486,3.1164
0,0.519843,1,1.6604,2.9824
0,0.422461,0,1.592,3.045
0,0.366696,0,1.4918,2.9146
0,0.471399,0,1.5609,2.9796
0,0.41641,0,1.6005,2.9887
0,0.604818,1,1.6216,2.8258
0,0.358163,0,1.5658,2.959
0,0.361302,0,1.6175,3.0099
0,0.362007,0,1.6043,3.0364
0,0.314409,0,1.63,3.0232
0,0.344727,0,1.6286,3.0469
0,0.325662,0,1.6213,3.0227
0,0.359322,0,1.621,2.8947
0,0.372098,0,1.5063,2.9053
0,0.413107,0,1.537,2.9491
0,0.393606,0,1.5598,2.9759
0,0.338915,0,1.5596,2.834
0,0.423373,0,1.559,2.9773
0,0.336472,0,1.6065,3.007
0,0.402424,0,1.6016,3.151
0,0.375304,0,1.5618,2.8774
0,0.31124,0,1.5405,2.9828
0,0.317076,0,1.6135,3.0275
0,0.35499,0,1.6233,3.0383
0,0.281627,0,1.6229,3.0359
0,0.30591,0,1.6497,3.0288
0,0.293146,0,1.6373,3.0132
0,0.291708,0,1.5937,2.8208
0,0.430413,0,1.5731,2.9439
0,0.334514,0,1.5649,2.9933
0,0.348514,0,1.598,3.0031
0,0.313314,0,1.6075,2.9918
0,0.310368,0,1.6244,2.9918
0,0.405358,0,1.6053,3.0059
0,0.380271,0,1.6106,2.8793
0,0.386691,0,1.5289,2.9582
0,0.45415,0,1.5905,3.0311
0,0.450987,0,1.6069,3.0178
0,0.403716,0,1.566,2.8243
0,0.358074,0,1.5608,3.128
0,0.363985,0,1.5222,2.953
0,0.472326,0,1.5738,3.008
0,0.391959,0,1.5229,2.9465
0,0.474509,0,1.5643,2.9735
0,0.425906,0,1.6152,3.005
0,0.372409,0,1.5895,3.0263
0,0.404343,0,1.6135,3.0097
0,0.423654,0,1.639,3.013
0,0.441196,0,1.6116,3.0226
0,0.50081,1,1.6316,3.035
0,0.460047,0,1.608,2.9277
0,0.511117,1,1.4981,2.8945
0,0.428711,0,1.5592,2.9495
0,0.471187,0,1.5729,2.9859
0,0.625416,1,1.5671,2.9891
0,0.68446,1,1.5817,2.9892
0,0.609077,1,1.5975,2.889
0,0.501227,1,1.5691,2.9685
0,0.685483,1,1.6002,2.997
0,0.566154,1,1.5974,3.0927
0,0.603299,1,1.6513,2.8878
0,0.618857,1,1.5673,2.9577
0,0.518835,1,1.5961,3.0195
0,0.662674,1,1.6227,2.9612
0,0.52943,1,1.4995,2.9605
0,0.597578,1,1.5564,3.0049
0,0.582193,1,1.5635,2.9963
0,0.546129,1,1.5675,3.0493
0,0.53235,1,1.594,3.001
0,0.561164,1,1.5967,3.0013
0,0.590953,1,1.6051,3.0439
0,0.436961,0,1.5188,2.9493
0,0.372951,0,1.584,2.982
0,0.540167,1,1.5941,2.9976
0,0.618017,1,1.616,2.9142
0,0.545504,1,1.5565,2.9517
0,0.55152,1,1.5841,2.9855
0,0.410868,0,1.6012,2.9874
